datum_change_name,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,scale_change,length_id,angle_id,usearea_id
ADINDAN>WGS72DOD ,-0.1520000116117299e3 ,-0.260000005090842e2 ,0.212e3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,35 
AGD66>WGS84 , -0.1296660E+03, -0.566780E+02, +0.1500770E+03, 0.0, 0.0, 0.0, 0.0, 1, 4, 93
AGD84>GDA94 , -0.117763e+03, -0.5151e+02, 0.139061e+03, 0.141565e-05, 0.214772e-05, 0.134293e-05, -0.191, 1, 4, 93
AGD84>WGS84 , -0.1160e+03, -0.5047e+02, 0.14169e+03, 0.1115e-05, 0.18907e-05, 0.166771e-05, 0.0983, 1, 4, 93
ARC1950>WGS84 , -0.1430000040354207e3, -0.9000000204367097e2, -0.294e3, 0.0, 0.0, 0.0, 0.0, 1, 4 ,36
ARC1960>WGS84 , -0.160E+03, -0.80E+01, -0.30E+03, 0.0, 0.0, 0.0, 0.0, 1, 4 ,36
BOGOTA>WGS84 , 0.3070E+03, 0.3040E+03, -0.3180E+03, 0.0, 0.0, 0.0, 0.0, 1, 4, 132
GDA94>AGD84 , 0.117763e+03, 0.5151e+02, -0.139061e+03, -0.141565e-05, -0.214772e-05, -0.134293e-05, 0.191, 1, 4, 93
GEM6>WGS84 , 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 1, 4, 1
INDIAN60>WGS84, 298.96, 750.02, 249.84, 0.0, 0.0, 0.0, 0.0, 1, 4, 54
LUZON11>WGS84 , -0.1330e+03, -0.720e+02, -0.540e+02, 0.0, 0.0, 0.0, 0.0, 1, 4, 60
NAD27>PULKOVO , -0.49E+02 , 0.292E+03 , 0.266E+03, 0.0 , 0.0 , 0.0 , 0.0 , 1 , 4 , 1
NAD27>WGS84 ,-0.8e+01, 0.160e+03, 0.176e+03, 0.0, 0.0, 0.0, 0.0, 1,4,1
NAD83>WGS84 ,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1,4,1
NAHRWAN>EDMCE75 ,-0.1030000019446015e3 ,0.3000000064305823e1 ,0.561e3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,69 
NWL9D>WGS84 , 0.0, 0.0, 0.45e1, 0.0, 0.0, 0.3946383415090602e-5, -0.6000000238418579, 1 ,4 ,75
PRS92>WGS84, -127.62195, -67.24478, -47.04305, -1.487223895632e-5, 2.376887447576e-5, 7.6498737944e-6, -1.06002, 1, 4, 60
USSPHERE>WGS84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1120.2, 1, 4, 1
WGS72BE>WGS84 , 0.0, 0.0, 1.9, 0.0, 0.0, 0.814, -0.38, 1, 4, 1
WGS72DOD>ED50 ,0.8950000201859512e2 ,0.938000050782226e2 ,0.1275999984741211e3 ,0.0 ,0.0 ,0.4702692845468806e-5 ,-0.1799999983770249e1 ,1 ,4 ,106 
WGS72DOD>NWL9D , 0.0, 0.0, 0.0, 0.0, 0.0, -0.12605155551719686621E-05, 0.80000001192092895508E+0, 1 ,4 ,75
WGS84>ADINDAN ,0.1620000039488077e3 ,0.1200000073129195e2 ,-0.206e3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,35 
WGS84>AGD66 , 0.1296660E+03, 0.566780E+02, -0.1500770E+03, 0.0, 0.0, 0.0, 0.0, 1, 4, 93
WGS84>AGD84 , 0.1160e+03, 0.5047e+02, -0.14169e+03, -0.1115e-05, -0.18907e-05, -0.166771e-05, -0.0983, 1, 4, 93
WGS84>ARC1950 ,0.1430000040354207e3 ,0.9000000204367097e2 ,0.294e3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,36 
WGS84>ARC1960 ,0.1600000039339066e3 ,0.8000000255502528e1 ,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,37 
WGS84>BOGOTA ,-0.3070000234358013e3 ,-0.3040000081802718e3 ,0.318e3 ,0.0 ,0.0 ,0.0 ,0.0 ,1 ,4 ,38 
WGS84>GEM6 , 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 1, 4, 1
WGS84>INDIAN60, -298.96, -750.02, -249.84, 0.0, 0.0, 0.0, 0.0, 1, 4, 54
WGS84>KKJ, 89.610,104.629,118.239, 2.0478534e-05,0.1202253e-05,-0.413063e-05,-1.1,1,2,1
WGS84>NAD27 ,0.8e+01, -0.160e+03, -0.176e+03, 0.0, 0.0, 0.0, 0.0, 1,4,1
WGS84>NAD83 ,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1,4,1
WGS84>NWL9D ,0.0 ,0.0 ,-0.45e1 ,0.0 ,0.0 ,-0.3946383415090602e-5 ,0.6000000238418579 ,1 ,4 ,75 
WGS84>PRS92, 127.62195, 67.24478, 47.04305, 1.487223895632e-5, -2.376887447576e-5, -7.6498737944e-6, 1.06002, 1, 4, 60
PSAD56>WGS84, -270,183,-390,0.0,0.0,0.0,0.0,1,4,1
WGS84>PSAD56, 270,-183,390,0.0,0.0,0.0,0.0,1,4,1
