datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
ACCRA ,ACCRA ,WAROFFFT,1 ,G.C.S. STATION 547 ,5.3953611 ,-0.1978611 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED FOR INITIAL ADJUSTMENTOF GOLD COAST (GHANA) TRIANGULATION. ,SURVEY,PUBLIC 
ADINDAN ,ADINDAN ,CLA80MOD,1 ,STA.15 ADINDAN ,22.1686417 ,31.4893356 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF:GEODESY BY MAGNAVOX USED IN ETHIOPIA. ,SURVEY,PUBLIC 
AGD66 ,AUSTRALIAN GEODETIC ,ANS ,1 ,JOHNSON MEMORIAL ,-25.9484864 ,133.2083547 ,1 ,0.0 ,1 ,1,,RJL 15/5/84. USED IN AUSTRALIA AND PARTSOF PAPUA SINCE EARLY 1970'S. ,SURVEY,PUBLIC 
AGD84 ,AUSTRALIAN GEODETIC ,ANS ,1 ,JOHNSON MEMORIAL ,-25.9484864 ,133.2083547 ,1 ,0.0 ,1 ,1,,ERM 21/4/95. IMPROVED VERSION OF EARLIER AGD66 COORDINATE SET - SAME ORIGIN ,SURVEY,PUBLIC 
AINABD70,AIN EL ABD (1970) ,INT24 ,1 ,AIN EL ABD ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 11/1/83. USED FOR SAUDI 1970 PRIMARYTRIANGULATION. ,SURVEY,PUBLIC 
ARATU ,ARATU ,INT24 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED BY PETROBRAS FOR MOST OFFSHORE AND COASTAL BASINS OF BRAZIL. ,SURVEY,PUBLIC 
ARC1950 ,NEW ARC 1950 ,CLA80RSA,1 ,BUFFELSFONTEIN ,-33.9922222 ,25.512395 ,1 ,0.0 ,1 ,1,,RJL 8/4/83. USED IN SOUTHERN AFRICA. ,SURVEY,PUBLIC 
ARC1960 ,NEW ARC 1960 ,CLA80MOD,1 ,BUFFELSFONTEIN ,-33.9922222 ,25.512395 ,1 ,0.0 ,1 ,1,,RJL 20/12/83. USED IN SOUTHERN AND EASTERN AFRICA. ,SURVEY,PUBLIC 
BAHRAIN ,BAHRAIN (AIN EL ABD),INT24 ,1 ,JEBEL DUKHAN ,26.0383783 ,50.5418433 ,1 ,0.0 ,1 ,1,,RJL 22/2/83. USED IN BAHRAIN SINCE 1978. ,SURVEY,PUBLIC 
BATAVIA ,BATAVIA(JAKARTA) ,BESS1841,1 ,BATAVIA ASTRO STN ,-6.1276444 ,106.8077194 ,1 ,0.0 ,1 ,2,,AG BLACKBURN. 2/10/86 USED BY HUDBAY (MALACCA STRAIT) AND NUMEROUS OPERATORS ,SURVEY,PUBLIC 
