name,specified,radius,eccentricity,flattening,metre_factor,prime_merid,merid_value
ACCRA ,1,20926201.0 ,0.0821300390617785,296.0 ,0.30479947154 ,1 ,0.0  
ADINDAN ,1,6378249.145 ,0.0824834000441851,293.465 ,1.0 ,1 ,0.0  
AGD66 ,1,6378160.0 ,0.0818201799960599,298.25 ,1.0 ,1 ,0.0  
AGD84 ,1,6378160.0 ,0.0818201799960599,298.25 ,1.0 ,1 ,0.0  
AINABD70,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
ARATU ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
ARC1950 ,1,6378249.145 ,0.0824832165826249,293.4663077 ,1.0 ,1 ,0.0  
ARC1960 ,1,6378249.145 ,0.0824834000441851,293.465 ,1.0 ,1 ,0.0  
BAHRAIN ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
BATAVIA ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
BEDUARAM,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
BEIJING ,1,6378245.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
BELG50 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
BERNNEW ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
BOGOTA ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
CAMACUPA,1,6378249.145 ,0.0824834000441851,293.465 ,1.0 ,1 ,0.0  
CAPE ,1,6378249.145 ,0.0824834000441851,293.465 ,1.0 ,1 ,0.0  
CARTHAGE,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
CHUA ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
CMPOINCH,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
CLRK1866,1,6378206.4 ,0.0822718542249391,294.9786982 ,1.0 ,1 ,0.0  
CORRALEG,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
DEIR ,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
ED50 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
ED50EGYT,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
ED50SVAL,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
EDMCE75 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
EGYPT07 ,1,6378200.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
EGYPT24 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
