proj_name,false_north,false_east,scale_factor,centre_merid,centre_lat,radius,eccentricity,flattening,prime_merid
LE00N16E,5000000.0 ,5000000.0 ,1.0 ,0.2792526803190927,0.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LE13S127,0.0 ,0.0 ,1.0 ,2.2165681500327986,-0.226892802759262 ,6378160.0 ,0.0818201799960599,298.25 ,1  
LE20S60W,0.0 ,0.0 ,1.0 ,-1.047197551196597 ,-0.349065850398865 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LE35S135,0.0 ,0.0 ,0.0 ,2.3561944901923449,-0.610865238198015 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LEAFRICA,0.0 ,0.0 ,1.0 ,0.3490658503988659,0.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LEAMERIC,0.0 ,0.0 ,1.0 ,-1.570796326794896 ,0.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LEFRAN ,10000000.0 ,5000000.0 ,1.0 ,0.0349065850398866,0.8203047484373349,6378388.0 ,0.0819918899790298,297.0 ,1  
LEGLOBE ,10000000.0 ,5000000.0 ,1.0 ,-0.977384381116824 ,-0.68940505453776 ,6400000.0 ,0.0 ,1.0 ,1  
LELUSAK0,0.0 ,0.0 ,1.0 ,0.4945099541499503,0.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LELUSAKA,0.0 ,0.0 ,1.0 ,0.4945099541499503,-0.269362480642681 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LEMONG ,10000000.0 ,5000000.0 ,1.0 ,1.8325957145940461,0.8203047484373349,6378388.0 ,0.0819918899790298,297.0 ,1  
LENAFRIC,10000000.0 ,5000000.0 ,1.0 ,0.3490658503988659,0.0218166156499291,6378249.145 ,0.0824834000441851,293.465 ,1  
LENSEA ,10000000.0 ,5000000.0 ,1.0 ,0.0174532925199433,1.0471975511965977,6378388.0 ,0.0819918899790298,297.0 ,1  
LESAMER ,10000000.0 ,5000000.0 ,1.0 ,-0.977384381116824 ,-0.383972435438752 ,6400000.0 ,0.0 ,1.0 ,1  
LESUR554,0.0 ,0.0 ,1.0 ,-0.942477796076938 ,0.0872664625997165,6371000.0 ,0.0 ,1.0 ,1  
LEUSA0,0.0 ,0.0 ,1.0 ,-1.7453293,0.78539816 ,6370997.0 ,0.0,9999999999.0,1  
LEWEURO ,10000000.0 ,5000000.0 ,1.0 ,0.0349065850398866,0.8726646259971648,6378388.0 ,0.0819918899790298,297.0 ,1  




