proj_name,false_north,false_east,scale_factor,centre_merid,centre_lat,radius,eccentricity,flattening,prime_merid
LM1ADEN ,1000000.0 ,1500000.0 ,0.999365678 ,0.7853981633974483,0.2617993877991494,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1AFNDX,0.0 ,0.0 ,0.99 ,0.5235987755982989,0.174532925199433 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1ALGND,300000.0 ,500000.0 ,0.999625544 ,0.0471238898038469,0.6283185307179587,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1ALGSD,300000.0 ,500000.0 ,0.999625769 ,0.0471238898038469,0.5811946409141118,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1BANG ,914395.23 ,2743185.69 ,0.998786408 ,1.5707963267948966,0.4537856055185257,6377276.345 ,0.0814729809826527,300.8017 ,1  
LM1BLSEA,10000000.0 ,5000000.0 ,1.0 ,0.6108652381980154,0.7853981633974483,6378245.0 ,0.0818133340169312,298.3 ,1  
LM1BURMA,2743196.4 ,914398.8 ,0.9987864 ,1.7453292519943296,0.3316125578789226,6377276.345 ,0.0814729809826527,300.8017 ,1  
LM1CARIB,280296.0 ,500000.0 ,0.999936 ,-1.413716694115407 ,0.3900810878207327,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM1CAUC ,675000.0 ,2155500.0 ,0.998461538 ,0.7853981633974483,0.6894050545377602,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1COLC ,0.0 ,0.0 ,1.0 ,-1.282817000215832 ,0.1221730476396031,6378160.0 ,0.0818201799960599,298.25 ,1  
LM1CORSE,200000.0 ,600000.0 ,0.99994471 ,0.0 ,0.7359180791034091,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA1D,200000.0 ,600000.0 ,0.999877341 ,0.0407919801399394,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA1G,200000.0 ,600000.0 ,0.999877341 ,0.0 ,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA2D,200000.0 ,600000.0 ,0.99987742 ,0.0407919801399394,0.8168140899333462,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA2G,200000.0 ,600000.0 ,0.99987742 ,0.0 ,0.8168140899333462,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA3D,200000.0 ,600000.0 ,0.999877499 ,0.0407919801399394,0.7696902001294994,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA3G,200000.0 ,600000.0 ,0.999877499 ,0.0 ,0.7696902001294993,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA4D,185861.37 ,234.36 ,0.99994471 ,0.0407919801399394,0.7359180791034091,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA4G,185861.37 ,234.36 ,0.99994471 ,0.0 ,0.7359180791034091,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRAND,300000.0 ,500000.0 ,0.99950908 ,0.1350397597476332,0.8639379797371931,6376523.3 ,0.0804334739887246,308.64 ,1  
LM1FRE1D,1200000.0 ,600000.0 ,0.999877341 ,0.0407919801399394,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE1G,1200000.0 ,600000.0 ,0.999877341 ,0.0 ,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE2D,2200000.0 ,600000.0 ,0.99987742 ,0.0407919801399394,0.8168140899333462,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE2G,2200000.0 ,600000.0 ,0.99987742 ,0.0 ,0.8168140899333462,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE3D,3200000.0 ,600000.0 ,0.999877499 ,0.0407919801399394,0.7696902001294994,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE3G,3200000.0 ,600000.0 ,0.999877499 ,0.0 ,0.7696902001294993,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE4D,4185861.37 ,234.36 ,0.99994471 ,0.0407919801399394,0.7359180791034091,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE4G,4185861.37 ,234.36 ,0.99994471 ,0.0 ,0.7359180791034091,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1GREN1,250000.0 ,500000.0 ,1.0 ,-0.907571211037051 ,1.1780972450961725,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1GRNOR,1000000.0 ,1000000.0 ,0.997 ,-1.029744258676654 ,1.3744467859455345,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1GRSUD,1000000.0 ,1000000.0 ,0.997 ,-1.029744258676654 ,1.1606439525762292,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1IND1 ,914398.8 ,2743196.4 ,0.998786408 ,1.1868238913561441,0.5672320068981571,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1IND4A,1000000.0 ,3000000.0 ,0.9987864 ,1.3962634015954637,0.2094395102393196,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1IRAN ,1166200.0 ,1500000.0 ,0.998786408 ,0.7853981633974483,0.5672320068981571,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1IRAQ ,1166200.0 ,1500000.0 ,0.998786408 ,0.7853981633974483,0.5672320068981571,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1JAFT ,400000.0 ,550000.0 ,1.0 ,-1.343903524035633 ,0.3141592653589793,20926202.0 ,0.082483216582625 ,293.4663077 ,1  
LM1JAMTR,150000.0 ,250000.0 ,1.0 ,-1.343903524035633 ,0.3141592653589793,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM1KANG ,900000.0 ,3900000.0 ,0.997 ,1.9198621771937625,0.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
LM1LEVD ,300000.0 ,300000.0 ,0.9996256 ,0.6518804756198821,0.6047565858160352,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1LEVG ,300000.0 ,300000.0 ,0.9996256 ,0.6518804756198821,0.6047565858160352,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1LIBS ,600000.0 ,800000.0 ,0.99907 ,0.3141592653589793,0.4014257279586958,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1LIBYA,550000.0 ,1000000.0 ,0.99938949 ,0.3141592653589793,0.5410520681182422,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1MORND,300000.0 ,500000.0 ,0.999625769 ,-0.094247779607693 ,0.5811946409141118,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1MORSD,300000.0 ,500000.0 ,0.999615596 ,-0.094247779607693 ,0.5183627878423159,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1NEP1 ,1000000.0 ,3000000.0 ,0.998786408 ,1.1868238913561441,0.5672320068981571,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NEP2A,1000000.0 ,3000000.0 ,1.0 ,1.2915436464758039,0.4537856055185257,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NEP2B,1000000.0 ,3000000.0 ,1.0 ,1.5707963267948966,0.4537856055185257,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NPG ,100000.0 ,300000.0 ,0.9997 ,2.6179938779914944,-0.139626340159546 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
LM1PA2B ,914398.8 ,2743196.4 ,0.998786408 ,1.5707963267948966,0.4537856055185257,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PA2BY,1000000.0 ,3000000.0 ,0.998786408 ,1.5707963267948966,0.4537856055185257,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PAK1 ,914398.8 ,2743196.4 ,0.998786408 ,1.1868238913561441,0.5672320068981571,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PAK1Y,1000000.0 ,3000000.0 ,0.998786408 ,1.1868238913561441,0.5672320068981571,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PAK2 ,914398.8 ,2743196.4 ,0.9987864077 ,1.2915436464758039,0.4537856055185257,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PAK2Y,1000000.0 ,3000000.0 ,0.998786408 ,1.2915436464758039,0.4537856055185257,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PB1D ,1200000.0 ,600000.0 ,0.999877341 ,0.0407919801399394,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1PB1G ,1200000.0 ,600000.0 ,0.999877341 ,0.0 ,0.8639379797371931,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1POL ,500000.0 ,500000.0 ,1.0 ,0.3316125578789226,0.9075712110370514,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1ROM ,2000000.0 ,2000000.0 ,1.0 ,0.1570796326794897,0.7817620613709032,6378245.0 ,0.0818133340169312,298.3 ,1  
LM1SHAB ,8718549.7 ,1704346.3 ,1.0 ,0.820925310724857 ,0.2687807048071268,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1SPAIN,600000.0 ,600000.0 ,0.9988085293 ,-0.064356815307104 ,0.6981317007977318,6378297.336 ,0.0823064991407691,294.73 ,1  
LM1SPANM,600000.0 ,600000.0 ,0.998808529 ,0.0 ,0.6981317007977318,6378297.336 ,0.0823064991407691,294.73 ,7 
LM1SYRSD,300000.0 ,500000.0 ,0.999625769 ,0.6283185307179587,0.5811946409141118,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1SYRSG,300000.0 ,500000.0 ,0.999625769 ,0.6283185307179587,0.5811946409141117,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TUNND,300000.0 ,500000.0 ,0.999625544 ,0.1727875959474386,0.6283185307179587,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TUNSD,300000.0 ,500000.0 ,0.999625769 ,0.1727875959474386,0.5811946409141118,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TURK ,2000000.0 ,2000000.0 ,1.0 ,0.4782202150464463,0.6981317007977318,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1USSR ,0.0 ,0.0 ,1.0 ,0.6632251157578452,0.767944870877505 ,6378245.0 ,0.0818133340169312,298.3 ,1  
