proj_name,false_north,false_east,false_olat,false_olon,scale_factor,centre_merid,first_paral,second_paral,centre_lat,defined,grid_north,false_onorth,false_oeast,radius,eccentricity,flattening,prime_merid
LAMCAN, 500000.0, 500000.0, 0.0, 0.0, 1.0, -1.6057028, 0.8552113334772215, 1.3439035240356338, 0.0, 1, 0.0, 0.0, 0.0, 6378206.4, 0.0822718542249391, 294.9786982, 1
LAMSAFRI , 500000.0, 500000.0, 0.0, 0.0, 1.0, 0.43633231, -0.06981317, -0.54105207, 0.0,1, , , ,,,,1
L2ANT1 , 0.0, 0.0, 0.0, 0.0, 1.0, -1.832595715, -1.439896633, -1.422443340, -1.457349925,1,0.0 ,0.0 ,0.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
L2ANTDRI, 0.0, 0.0, 0.0, 0.0, 1.0, 2.7925268, -1.3846279, -1.3380857, -1.3962634, 1, 0.0, 0.0, 0.0, 6378249.2, 0.0824832567625238, 293.4660213, 1
L2NSW1, 8200000.0, 700000.0, -0.628318530717959, 2.565634000431664, 0.998635863269222, 2.565634000431664, -0.523598775598299, -0.628318530717959, -0.628318530717959, 1,0.0 ,0.0 ,0.0 ,6378160.0 ,0.0818201799960599, 298.25 ,1
L2NSW2, 10000000.0, 1000000.0, 0.0, 2.565634000431664, 0.998635863269222, 2.565634000431664, -0.570140888984814, -0.616683002371330, 0.0, 1,0.0 ,0.0 ,0.0 ,6378160.0 ,0.0818201799960599, 298.25 ,1
L2WA_WGS84 , 203866.49, 343122.675, 0.0, 0.0, 1.0, -1.832595715, -1.457349925, -1.422443340, -1.439896633, 1,0.0 ,0.0 ,0.0 ,6378137.0 ,0.0818191908375549,298.2572236 ,1  
L2ALSK10F83 ,0,3280833.333,0,0,1,-3.0712,0.904491666,0.939391667,0.88995,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2ARKNF83,0,1312333.333,0.599229709,-1.605702912,0.999935935,-1.605702912,0.632390965,0.609701685,0.599229709,2,0,0,400000,20925391.87,0.081819191,298.2572221,1
L2ARKSF83,1312333.333,1312333.333,0.57014089,-1.605702912,0.99991847,-1.605702912,0.606792804,0.581194641,0.57014089,2,0,400000,400000,20925391.87,0.081819191,298.2572221,1
L2CAL1F83,1640416.666,6561666.665,0.686496172,-2.129301687,0.999894641,-2.129301687,0.727220522,0.698131701,0.686496172,2,0,0,2000000,20925391.87,0.081819191,298.2572221,1
L2CAL2F83,1640416.666,6561666.665,0.657407352,-2.129301687,0.999914677,-2.129301687,0.695222818,0.669042879,0.657407352,2,0,0,2000000,20925391.87,0.081819191,298.2572221,1
L2CAL3F83,1640416.666,6561666.665,0.637045177,-2.103121749,0.999929182,-2.103121749,0.670788209,0.646935377,0.637045177,2,0,0,2000000,20925391.87,0.081819191,298.2572221,1
L2CAL4F83,1640416.666,6561666.665,0.616683002,-2.07694181,0.999940762,-2.07694181,0.650135146,0.628318531,0.616683002,2,0,500000,2000000,20925391.87,0.081819191,298.2572221,1
L2CAL5F83,1640416.666,6561666.665,0.584685299,-2.059488517,0.999922127,-2.059488517,0.619010109,0.593993722,0.584685299,2,0,500000,2000000,20925391.87,0.081819191,298.2572221,1
L2CAL6F83,1640416.666,6561666.665,0.561414243,-2.028945255,0.999954145,-2.028945255,0.591375728,0.572177106,0.561414243,2,0,0,2000000,20925391.87,0.081819191,298.2572221,1
L2COLCF83,999999.9998,3000000,0,0,0.999935913,-1.841322361,0.693768378,0.671079097,0.660191609,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2COLNF83,999999.9998,3000000,0,0,0.999956848,-1.841322361,0.693186602,0.711803446,0.686366661,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2COLSF83,999999.9998,3000000,0,0,0.999945401,-1.841322361,0.670788209,0.649844258,0.639833339,1,0,0,0,20925391.87,0.081819191,298.2572221,1
