proj_name,type,metre_factor,radius,eccentricity,flattening,prime_merid
AEAFRICA,azimuted,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
AERUSS ,azimuted,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
ALALASK2,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALALASK3,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALALASKA,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALAUS ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALBERING,albersea,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
ALCAM ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALCANADA,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALCHI ,albersea,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
ALCOLOMB,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALDLGAL ,albersea, 1.0, 6378206.4 ,0.0822718542249391,294.9786982 ,1
ALDLGHAW ,albersea, 1.0, 6378206.4 ,0.0822718542249391,294.9786982 ,1
ALDLGUSA ,albersea, 1.0, 6378206.4 ,0.0822718542249391,294.9786982 ,1
ALEUR ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALEURO ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALFAR ,albersea,1.0 ,6377276.345 ,0.0814729809826527,300.8017 ,1  
ALGMEXIC,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALGULFFT,albersea,0.3048006096 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
ALGULFMT,albersea,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALMALIN ,albersea,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
ALMEA2 ,albersea,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
ALMENA ,albersea,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
ALNSEA ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALRUSS ,albersea,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
ALSAF ,albersea,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
ALSAM ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALVENEZ ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALWAUST ,albersea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1   
BCNAMER ,bioconco,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
BCSAMER ,bioconco,1.0 ,6371221.0 ,0.0 ,1.0 ,1  
BCSPHERE,bioconco,1.0 ,6371000.0 ,0.0 ,1.0 ,1  
BORNEOMT,borneo ,1.0 ,6377298.556 ,0.0814729809826527,300.8017 ,1  
CAISRAEL,cassini ,1.0 ,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAISRMOD,cassini ,1.0 ,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAPAL ,cassini ,1.0 ,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAQATAR ,cassini ,1.0 ,6378200.0 ,0.0818133340169312,298.3 ,1  
CAQATMOD,cassini ,1.0 ,6378200.0 ,0.0818133340169312,298.3 ,1  
CASNGPOR,cassini ,1.0 ,6377304.063 ,0.0814729809826526,300.8017 ,1  
CATOBAGO,cassini ,0.201166195 ,31706587.88 ,0.0823719976935089,294.2606764 ,1  
CATRINID,cassini ,0.201166195 ,31706587.88 ,0.0823719976935089,294.2606764 ,1  
CAVANUA ,cassini ,0.201166195 ,31706366.667 ,0.0824832165826249,293.4663077 ,1  
CAVITI ,cassini ,0.201166195 ,31706366.667 ,0.0824832165826249,293.4663077 ,1  
CE42BUL ,coniced ,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
CEAUST ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1
CEBLACK ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CECARP1 ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CECASP ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CECASPAN,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CECISWMC ,coniced , 1.0
CEEUR1 ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CEEUROPE,coniced ,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
CERUSS ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
CERUSS1 ,coniced ,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
