proj_name,proj_type,length_id,angle_id,usearea_id,type_desc,description,ref_proj,source,visibility,release
AEAFRICA,azimuted,1 ,1 ,1,01_azimuted ,AFRICA ,,R.A.S - 22/8/88 FOR TECTONIC MAPS OF AFRICA. (R.CLEVERLY - RSG) ,WORLD,PUBLIC 
AERUSS ,azimuted,1 ,1 ,119,01_azimuted ,RUSSIA ,,PNM OCT 1989 FOR RUSSIA 1:7500000 MAPS ,WORLD,PUBLIC 
ALALASK2,albersea,1 ,1 ,120,01_albersea ,ALASKA ORIGIN 153 W ,,DWP - FOR D JOHNSON SAME AS ALALASKA BUTORIGIN IS 153 W. 6/11/91 ,WORLD,PUBLIC 
ALALASK3,albersea,1 ,1 ,120,01_albersea ,ALASKA 153 W ZONE ,,DAJ For RSG well location conversions ,WORLD,PUBLIC 
ALALASKA,albersea,1 ,1 ,120,01_albersea ,,,RJL 25/7/88. REF: USGS BULLETIN 1532 FOR USE IN REGIONAL MAPPING OF ALASKA ,WORLD,PUBLIC 
ALAUS ,albersea,1 ,1 ,121,01_albersea ,REGION ,,DAJ FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALBERING,albersea,1 ,1 ,122,01_albersea ,,,SEH 14/6/90 FOR MIKE STEPHENS. ,WORLD,PUBLIC 
ALCAM ,albersea,1 ,1 ,123,01_albersea ,REGION 1A ,,R.A.S - 6/6/88 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALCANADA,albersea,1 ,1 ,1,01_albersea ,CANADA ,,R.A.S - FOR R.LAMING 15/7/88 ,WORLD,PUBLIC 
ALCHI ,albersea,1 ,1 ,124,01_albersea ,REGION 5 ,,DAJ FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALCOLOMB,albersea,1 ,1 ,38,01_albersea ,,,SEH 24/5/90 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALEUR ,albersea,1 ,1 ,125,01_albersea ,REGION 3 ,,DAJ FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALEURO ,albersea,1 ,1 ,1,01_albersea ,EUROPE ,,TEMP FOR GEOLOGICAL MAP OF EUROPE DIGITISING DAJ 24/11/86 ,WORLD,PUBLIC 
ALFAR ,albersea,1 ,1 ,126,01_albersea ,REGION 4 ,,DAJ FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALGMEXIC,albersea,1 ,1 ,19,01_albersea ,,,SEH 25/5/90 FOR PLAY FAIRWAYS MAPPING. ,WORLD,PUBLIC 
ALGULFFT,albersea,4,1 ,127,01_albersea ,,,RJL 10/5/89 FOR GULF OF MEXICO REGIONAL MAPPING ,WORLD,PUBLIC 
ALGULFMT,albersea,1 ,1 ,19,01_albersea ,,,SEH 13/3/90 Requested by Gordon McCaw (RSg) ,WORLD,PUBLIC 
ALMALIN ,albersea,1 ,1 ,128,01_albersea ,REGION 6 ,,R.A.S - 6/6/88 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALMEA2 ,albersea,1 ,1 ,129,01_albersea ,REGION 2 ,,,WORLD,PUBLIC 
ALMENA ,albersea,1 ,1 ,130,01_albersea ,REGION 2A ,,R.A.S - 6/6/88 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALNSEA ,albersea,1 ,1 ,1,01_albersea ,,,RJL 1/10/85. ,WORLD,PUBLIC 
ALRUSS ,albersea,1 ,1 ,119,01_albersea ,RUSSIA ,,PNM OCT 1989 TEST FOR RUSSIA 1:7500000 MAPPING OVERLAY ,WORLD,PUBLIC 
ALSAF ,albersea,1 ,1 ,131,01_albersea ,REGION 2B ,,R.A.S - 6/6/88 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALSAM ,albersea,1 ,1 ,132,01_albersea ,REGION 1B ,,R.A.S - 6/6/88 FOR PLAY FAIRWAYS DIGITISING ,WORLD,PUBLIC 
ALVENEZ ,albersea,1 ,1 ,27,01_albersea ,,,SEH 25/5/90 FOR PLAY FAIRWAYS MAPPING. ,WORLD,PUBLIC 
BCNAMER ,bioconco,1 ,1 ,134,01_bioconco ,,,AGB 2/5/91. ,WORLD,PUBLIC 
BCSAMER ,bioconco,1 ,1 ,135,01_bioconco ,,,PNM 14.12.90 ,WORLD,PUBLIC 
BCSPHERE,bioconco,1 ,1 ,136,01_bioconco ,NORTH SOUTH AMERICA,,D. STOKES 13 SEP 1990. ,WORLD,PUBLIC 
BORNEOMT,borneo ,1 ,1 ,1,01_borneo ,BORNEO GRID ,,NJS 20.01.86 METRIC VERSION OF BORNEO GD(SPHEROID IS EVEREST 67) ,WORLD,PUBLIC 
CAISRAEL,cassini ,1 ,1 ,1,01_cassini ,ISRAELI GRID ,,RJL 10/1/83 REF: TEL MESSAGE FROM HEAD OF SURVEY OF ISRAEL. SEE ALSO CAISRMOD.,WORLD,PUBLIC 
CAISRMOD,cassini ,1 ,1 ,1,01_cassini ,MOD. ISRAELI GRID ,,RJL 10/1/83 REF: TEL MESSAGE FROM HEAD OF SURVEY OF ISRAEL. SEE ALSO CAISRAEL.,WORLD,PUBLIC 
CAPAL ,cassini ,1 ,1 ,1,01_cassini ,PALESTINE GRID ,,RJL 10/1/83 REF: DMA LISTING. SEE ALSO PROJECTIONS CAISRAEL AND CAISRMOD. ,WORLD,PUBLIC 
CAQATAR ,cassini ,1 ,1 ,1,01_cassini ,QATAR GRID ,,RJL 11/1/83 REF: TRIG FILE ,WORLD,PUBLIC 
CAQATMOD,cassini ,1 ,1 ,138,01_cassini ,QATAR GRID MODIFIED ,,TCJ 29.06.88 QATAR TRIG FILE. ,WORLD,PUBLIC 
CASNGPOR,cassini ,1 ,1 ,1,01_cassini ,SINGAPORE GRID ,,RJL 11/1/83 ,WORLD,PUBLIC 
CATOBAGO,cassini ,8,1 ,1,01_cassini ,TOBAGO GRID ,,RJL 11/1/83 REF: T46 ,WORLD,PUBLIC 
CATRINID,cassini ,8,1 ,1,01_cassini ,TRINIDAD GRID ,,RJL 11/1/83 REF: T46 ,WORLD,PUBLIC 
CAVANUA ,cassini ,8,1 ,1,01_cassini ,VANUA ,,RJL 10/1/83 REF: D.O.S. MAP ,WORLD,PUBLIC 
CAVITI ,cassini ,8,1 ,1,01_cassini ,VITI ,,RJL 10/1/83 REF: D.O.S. MAP ,WORLD,PUBLIC 
CE42BUL ,coniced ,1 ,1 ,139,02_coniced ,EAST BULGARIA ,,DFN 22/2/90 ,WORLD,PUBLIC 
CEAUST ,coniced ,1 ,1 ,119,01_coniced ,,,PNM 15/3/90 AUSTRALIA - CERUSS2 MOD JHC WMC 6/9/93,WORLD,PUBLIC
CEBLACK ,coniced ,1 ,1 ,140,01_coniced ,,,DFN 18/6/91 OVERLAY ATTEMPT TO RUSSIAN MAP ,WORLD,PUBLIC 
CECARP1 ,coniced ,1 ,1 ,141,01_coniced ,EAST EUROPE ,,DFN 29/3/90 FOR TECTONIC MAPS OF CARPATHIAN - BALKAN MOUNTAINS 1973 ,WORLD,PUBLIC 
CECASP ,coniced ,1 ,1 ,142,01_coniced ,,,RAS - 16/11/90. FOR DIGITISING RUSSIAN MAP OF CASPIAN SEA AREA. ,WORLD,PUBLIC 
CECASPAN,coniced ,1 ,1 ,143,01_coniced ,,,TPD 16/JAN/1992 CASPIAN SEA ,WORLD,PUBLIC 
CECISWMC ,coniced ,INTERNATIONAL METRE ,DEGREES ,RUSSIA ,CONIC EQUIDISTANT ,PNM,
CEEUR1 ,coniced ,1 ,1 ,144,01_coniced ,EUROPE ,,DFN 28/3/90 TRIALS ONLY ,WORLD,PUBLIC 
CEEUROPE,coniced ,1 ,1 ,145,01_coniced ,,,PNM 15/3/90 MODIFIED DFN 29/3/90 1:1500000 GEOLOGICAL MAP ,WORLD,PUBLIC 
CERUSS ,coniced ,1 ,1 ,119,01_coniced ,RUSSIA ,,PNM NOV 1989 1:7500000 MAP OF RUSSIA ,WORLD,PUBLIC 
CERUSS1 ,coniced ,1 ,1 ,119,01_coniced ,,,PNM 6 JULY 1990 RUSSIA REGIONAL MAPPING ,WORLD,PUBLIC 
CERUSS2 ,coniced ,1 ,1 ,119,01_coniced ,,,PNM 15/3/90 GEOLOGICAL OVERLAY - RUSSIA ,WORLD,PUBLIC 
CEYUGO ,coniced ,1 ,1 ,148,01_coniced ,,,DFN 21/12/89 TEMP FIT FOR YUGO MAP ,WORLD,PUBLIC 
DUTCHNEW,dutch ,1 ,1 ,1,01_dutch ,NETHERLANDS NEW GRID,,RJL 26/4/83 ,WORLD,PUBLIC 
DUTCHOLD,dutch ,1 ,1 ,1,01_dutch ,NETHERLANDS OLD GRID,,RJL 26/4/83 ,WORLD,PUBLIC 
LABORDE ,labordom,1 ,1 ,1,01_labordom ,MADAGASCAR ,,RJL 15/12/83 REF: LABORDE 1928 ,WORLD,PUBLIC 
LE00N16E,lambazea,1 ,1 ,152,01_lambazea ,AFRICA ,,TPD 30/12/91 CGMW/UNESCO GEOLOGICAL MAPPING OF AFRICA ,WORLD,PUBLIC 
