usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
1,WORLD ,WORLD,WORLD ,90.0 ,-180.0 ,-90.0 ,180.0 ,1,1 
2,ONSHR W INDO'SIA(=GENUK DATUM),WORLD,ONSHR W INDO'SIA(=GENUK DATUM),0.0 ,0.0 ,0.0 ,0.0 ,1,1 
3,NIGER ,WORLD,NIGER ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
4,NAMIBIA ,WORLD,NAMIBIA ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
5,SYRIA ,WORLD,SYRIA ,37.5 ,35.0 ,32.0 ,42.0 ,1,1 
6,EGYPT ,WORLD,EGYPT ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
7,EGYPT 1:50000 MAPS POST 1960 ,WORLD,EGYPT 1:50000 MAPS POST 1960 ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
8,DAI HUNG FIELD SAIGON BASIN ,WORLD,DAI HUNG FIELD SAIGON BASIN ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
9,NEPAL ,WORLD,NEPAL ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
10,ISRAEL ,WORLD,ISRAEL ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
11,SAME AS PSAD56.PARTS OF S.AMER,WORLD,SAME AS PSAD56.PARTS OF S.AMER,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
12,VENEZUELA - LAKE MARACAIBO ,WORLD,VENEZUELA - LAKE MARACAIBO ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
13,W.SULAWESI + MAKASSAR STRAIGHT,WORLD,W.SULAWESI + MAKASSAR STRAIGHT,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
14,OFFSHORE CABINDA ,WORLD,OFFSHORE CABINDA ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
15,ONSHORE CABINDA POST 1990 ,WORLD,ONSHORE CABINDA POST 1990 ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
16,CAMAROUN ,WORLD,CAMAROUN ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
17,USA CANADA MEXICO GREENLAND,WORLD,USA CANADA MEXICO GREENLAND,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
18,TRINIDAD AND TOBAGO ,WORLD,TRINIDAD AND TOBAGO ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
19,GULF OF MEXICO ,WORLD,GULF OF MEXICO ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
20,ONSHORE FRANCE ,WORLD,ONSHORE FRANCE ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
21,ONSHORE FRANCE (RJL 26/3/84) ,WORLD,ONSHORE FRANCE (RJL 26/3/84) ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
22,ST. FERGUS TERMINAL ,WORLD,ST. FERGUS TERMINAL ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
23,JORDAN ,WORLD,JORDAN ,0.0 ,0.0 ,0.0 ,0.0 ,1,1 
